text,label
korban pasti bukan hanya kerugian materi tapi juga kena mental smoga dihukum seberat beratnya suara penipu identik banget lagi anjay,0.0
saya hampir ja kena tipu barusan ada yang nelpon seperti ini,0.0
ya tiba tiba saya di tagih sama penjual di shopee padahal saya mau ngajuin spaylater dan sipinjam aja tidak di kasih gagal mulu bagaimana tiba tiba nagih ngancam ngancam lagi ngomong kasar dll,0.0
penipu laknat sayapun jadi korbannya penipu,0.0
cabok ku aing sia,0.0
sudah seperti itu otomatis akun shopee punya pinjaman bagaimana solusinya jika seperti terjadi karena sya juga korban seperti ini apakah sya tetap bayar angsuran dalam aplikasi shopee mohon solusi dan bantuannya,0.0
wahh aq baru aja di tlfn kyak gini percis sama ngomong ny,0.0
barusan dihubungi persis kayak gitu bahasanya duh,0.0
hampir ketipu juga tapi enggak jadi,0.0
setan itu,0.0
nah ini barusan banget ada nelpon ke saya,0.0
berantas dan kasih hukuman setimpal penipu meresahkan,0.0
bahasa indonesia bagus,1.0
sialan cepet bingit bicaranya,0.0
oh gitu caranya saya juga pernah sama dia disuruh aktifin spinjaman trs kirim ke rek sendiri abis itu balikin ke dia oh tentu tidak bisa bro,0.0
ini baru ada yang chet begini bagaimana cara menangkapnya,0.0
jadi pelajaran buat saya kalau saya punya anak nanti tidak mau membuat anak saya seperti jawaban yang di atas,0.0
uang nya byk ini orang gampng bisa keluar lagi dari penjra kasi uang aja polisi nya,0.0
mudahan semua orang penipu kek gini cepat matinya,0.0
garis keturunan selalu top,1.0
saya barusan kena jt bagaimana yaalloh bayaranya,0.0
barusan kena tipu jt,0.0
saya sudah tertipu persis ini mengatasnamakan shopee akhirnya saya punya utng d s pinjam padahal makai uangnyapun tidak saya tidak rela kalau harus bayar,0.0
lancar kaleee,1.0
ini banyak banget skrg sampai saya minta blokir akun di shopee parah amat penipuannya,0.0
semoga klompotannya segera tertangkap salah satunya orang palembang,0.0
untung saya orangnya tidak mudah percaya sama orang sama persis padahal akunku tidak bisa dibuka dan dia menyuruh saya ganti sandi,1.0
saya baru dapat tlf ini tadi dan hampir ketipu,0.0
mash ada ini komplotan y saya kena tipu juga ini barusan,0.0
hari ini saya ditelp seperti itu berarti teman ny msh bekerja,0.0
kapok,0.0
semoga orang yang menipu saya ketangkap polisi,0.0
saya blan yang lalu ketipu dan saya sudah lakukan lp k polres semoga spinjam dan kasus ku terselesaikan persis kasus nya seperti ini,0.0
saya baru minggi lalu ketipu persis seperti ini pinjam habis jt saya sudah lapor ke polsek untuk yang sudah pernah ketipu itu bagaimana ya apa di lunasin atau gagal bayar,0.0
kok sama saya baru dapat telpon ngaku dari shopee modusnya dia mau ngurusin pengembalian barang terus kita dibimbing buat buka aplikasi dan dia menyuruh kita untuk mengaktifkan fitur spinjam lama lama kok saya curiga ngurus retur barang kok disuruh aktifin spinjam segala kan tidak nyambung yaudah langsung saya tutup teleponnya dan saya blokir nomornya,0.0
suami saya juga baru kena tipu,0.0
saya tadi siang kena telepon kayak gini dia mencoba melakukan pembayaran paylater tapi gagal akhirnya saya ditelpon lah disuruh verifikasi wajah untuk penghubungan pembayaran paylater kemudian dialihkan ke pulsa tagihan ke nomer si pelaku dengan nominal k jadi kawan kalau ada yang menelepon atas nama shope jangan di turutin langsung matikan aja telepon nya,0.0
selalu shopee,1.0
mang ada yang ketipu kocak bet dah,0.0
lalu saya di kasih kode qr disuruh masukkan apakah itu termasuk penipu juga tak lama kemudian saya mendapat notif bahwa spinjam anda sudah memasuki tempo segera bayar terus ada nomor takdikenal masuk saya panik jika sesama mahluk allah kasih solusinya dong sodara semua untuk mengatasinya,0.0
iya somoga tertangkap semua ya penipu seperti itu saya juga pernah ngalamin seperti itu disuruh download bank bni terus masukkan ktp lalu foto orangnya sesui yang di ktp,0.0
saya selalu menghindari nomer telepon dari yang tidak dikenal mereka akan pintar banget mengelabui kita,0.0
ini bahaya untuk teman kalw tiba nerima wa kode mending diam kan dulu jangan masuk periksa email nya agar mastikan aman,0.0
yee saya lagi di sekolah waktu itu gotong royong jadi bwa hp kata nya kk saya jatuh dari motor butuh uang buat berobat pkok nya meyakinkan tapi saya tahu kk saya barusan jalan ke kelas sebelah kamu jadi saya pura panik lagi lama tuh kukerjain,0.0
tapi aq belum bayar wa nya dari aq langsung di blokir,0.0
aq pernah ketipu dg suara ini dan skrg aq dapat pesan dari spinjam suruh bayar se besar bagaimana nih ya aq nya,0.0
saya hampir saja tertipu jt dari transfer limit spinjam sama persis dengan yang saya alami,0.0
ya allah kemarin saya juga ada yang nelpon persis seperti ini saya kan ngk ngerti ya saya ikuti saya kira memang benar dari shopy terus bagaimana ini,0.0
dah keluar juga bakalan kerja seperti ini juga,0.0
astaghfirullah saya kena rb aja sudah bingung tadi nya saya mau pengembalian dana eh malah diarahkan ke briva biadab,0.0
saya baru hari ini mngalami kjadian itu awalnya ngirim pesan mengatasnamakan pihak dari shopee terus mengirim foto dengan tulisan sebagian ada yang mengancam akan d denda juta lalu komplotan yang sprti ini memakai hp terus mengarahkan ke spinjam lalu suruh ndaftar dengan ktp almt rumah nma orang tua pkerjaan jln gedung kode pos tapi alhmdulilah saya belum sempet isi data semua dan langsung saya mati in tapi tetep saja mrek menelpon dengan nomer yang lain saya masih menyimpan nomerny dan foto yang d kirim mreka semoga saja komplotan seperti ini keciduk semua,0.0
harusnya jangan dittup tuh muka ya biar masarakat bisa lihat bila ketemu orng didlam sel itu kasih salam olah raga krna sudah banyak merugikan orang lain,0.0
ya alloh tadi ada yang nlp saya cs shopen no thailand saya tidak angkat smpai x nlp lagi saya blokir dan di wa shope tapi tidak saya blsi saya blokir langsung ya alloh takute,0.0
subhanallah sikit lgi sya kena smlam persis kaya gini tapi dy bilng kk sudh mng upload resi di penilaian kk sudh melanggar aturan shopeee makanya akun kk akan di bekukan tapi kalau kk akun kk tk mau dibekukn kk harus ikut apa yang saya sarankan sya akan mmbntu kk,0.0
mirip banget kata katanya barusan di email kaya gitu terus saya tanggepin,0.0
kalau yang berusaha nipu saya suaraanya perempuan tapi serak gitu n ngomongnya kayak keburu,0.0
awal bulan juni saya kena jt emang bangke ini para penipu herannya mereka bisa nyedot saldonya otomatis,0.0
temannya masih banyak yang belum di tangkap,0.0
saya sekitar hari lalu di telpon seperti di video ujungnya yang mengarahkan ke transfer tapi saya sudah faham dari awal,0.0
baru berapa hari yang lalu katanya foto penilaian produk katanya melanggar sistem dia minta vc kumatikan teleponnya dan ku blokir nomornya hee,0.0
aq juga kena tipu seperti suara ini tapi alhamdulillah tidak sampai terjadi yang tidak diinginkan sempat terhipnotis hati bagi pengguna aplikasi shoppe,1.0
saya salah satu korban hampir kena tipu alhamdulillah saya sadar kalau ngerasa ditipu tapi setelah itu ada nomo masuk terus diterke trusss dengan nomor telepon gonta ganti,0.0
pihak terkait juga ikut tanggung jawab karena tahu uang itu lari kemana jangan biarkan makan korban lg,0.0
kalau saya pas pesen paket barangnya ada yang tidak cocog saya kasih bintang sama ulasan yang tak sesuai bbrpa menit pihak shoope tlpon mengaku mngatasnamakn shoppe ngancem saya suruh denda m penjara taun wkwk dengan alasan saya melanggar ulasan aga lama tlpon lgi si pihak yang mngatasnamkn shoppi saya angkat ngasih arahan suruh aktipin spinjam dan shoopepaylater kebetulan saya orang jawa si penipu ngomong pakai basa indonesia kita jawab terus pakai bahasa jawa wkwkw auto tidak ngrti bahasa kita penipu salah target,0.0
alkhamdulillah saya ketipu total karena tagihan spinjam,0.0
saya baru saja jadi korbannya hilang jt ku melayang sia,0.0
hidup akan susah dengan menipu orang kk tuhan tidak tdur,0.0
kemarin saya di tlp ngaku dari pihak shopee tapi nomer kode area thailand sampai nomer yang tlp katanya saya melanggar kebijakan shopee jika tidak segera di tindak lanjuti akun akan di bekukan permanen sebelum melakukan perbaikan saya di suruh mengosongkan limit spinjam dan spaylater spaylater ke kode qr yang mereka kirim sedangkan spinjam ke rekening saya pribadi dan di suruh transfer ke rekening pihak shopee nanti setelah di lakukan perbaikan dana akan di kembalikan ke akun saya ladenin terus hampir jam terus saya matikan tlp lagi saya kena marah kenapa di matikan sinyal pak sinyal terus bilang lagi ini bagaimana mau di bantu apa tidak kalau mau silahkan ikuti langkah langkah yang sudah kami jelaskan saya jawab emang harus sekarang ya saya lagi kerja tolong hubungi besok lagi ohh tidak bisa pak kami tidak ada waktu kalau kaya gini berarti akun bapak kami blokir permanen oh silahkan blokir saja pak bikin lagi juga bisa di jawab lagi ohh dasar manusia anjin mau di bantu tidak mau tamat,0.0
modus baru hati para pengguna sopi ada modus paket sudah sobek terus ada tlpon dri shoope kemudian arahan seperti yang di video tersebut,0.0
ati temannya masih berkeliaran,0.0
barusan saya dapet tlp disuruh ke spinjam suruh kosongin spinjam kata dia sudah diklik spinjamnya ini saya lagi masuk bentar ya bentar langsung saya matiin sambungan tlpnya,0.0
hampir masuk spinjam udh masuk tapi syukur no nya bukan no saya alhasil uang untuk bayar barang sudah melayang sudah saya tf ke admint kantor spx nya,0.0
nyesek banget saya juga korban nya jt ya allah mana lagi nganggur mana menuju lebaran idul fitri laporan kesana kemari tidak ada jalan stress banget diterror di ancam ancam tim shopee padahal dah laporan dah minta keringanan dah nyerahin surat pengaduan dari polsek beserta bukti nya gada keringanan sama sekali,0.0
barusan juga ngakunya dari akulaku nelpon sudah muter dari omongannya gajelas sok ngarahin ini itu tapi giliran saya sewotin dia juga lebih sewot lg sudah curiga banget dari bahasanya bukan call center real ujung nya stelah kita iya iyain aja dia cape sendiri matiin telponnya berasa gagal nipu wkwkwk anj emg makin banyak aje modus,0.0
saya baru habis kena tipu dari shopee spinjam sama paylatter habis di bobol,0.0
sama percis kaya saya tadi naas tidak tertolong,0.0
tadi malam saya juga kena tipu,0.0
masih ada bangke saya abis ditlpn untung sadar mau dibimbing ganti paswodr biar lepas dari perangkat,0.0
baju oren shopee oren,1.0
saya baruu aja ditelfon yang kya gini tapi saya curiga kenapa jadi tidak boleh dimatikan hehe yaa sudah lah saya matikan saja,0.0
semoga komplotan teman nya yang penipu shopee ketangkap smua tidak ada sisa,0.0
harus nya semua tersangka ngak usah di tutupi muka nya biar semua orang tahu,0.0
rata tukang tukang tipu gitu pinter gomong,0.0
orang tukang tipu jul nama sopi sama lnlai lebi baik hukum seberat mungkin kolo bisa hukum seumur hidup karena kalau dia uda bebas dia bikin ulah lagi,0.0
saya kena tipu juga kayak bgtu tolong dong bantu saya saya kehilangan juta,0.0
yaallah saya kena tipu juga semoga penipu segera dihukum seberat nya terus saya hrus bagaimana ya lunasi shopee pinjam saya yang dikirim kepenipu,0.0
hukum berat,0.0
lancar lugas dan pintar banget ngomong nya yang baru denger aja saya percaya suaranya mirip cs bank bca yang pernah saya telfon buat benerin bca,1.0
saya juga hampir kena tipu barusan,0.0
saya kena jt kemaren tanggal mei mudah mudahan pelaku nya cepat tertangkap,0.0
saya juga pak baru kena tipu,0.0
akhirnya cita citanya memakai baju oren terpenuhi hahaha,1.0
saya baru saja kenak tipu di shoppe terkuras spinjamq mengatasnamakan tim shoope mau mengembalikan barang harus membuka fitur aplikasi pickup tapi harus ngsongin spinjam rasanya kyak gag bisa mikir panjang terhipnotis sellau ngikuti arahannya,0.0
lancarrr buangettttt ngomngnya yah penipu itu pintar skaliii saya ke tipu ribu di spaylater,0.0
ini yang sedang saya alami pak bagaimana cara menangkap orang seperti ini ya,0.0
ini di polres daerah mana ya minta pertanggung jawaban para korban bagaimana,0.0
saya hampir kena tapi alhamdulillah ngga sampai krna saya tenang dan teliti saya call ke pusat shopee resmi alhmdllh aman,1.0
dikarenakan si pelaku berkelakuan baik dan tidak berbelit belit bayar denda saja dan hukuman minggu bebas tanpa syarat,1.0
saya juga kena tipu,0.0
saya kena juta ya allah tega banget mereka mana itu uang buat masuk pesantren anak saya,0.0
solusi buat kami para korban gmana pak ditagih dan urusan degan debt collector yang kerumah mohon solusi,0.0
bang istri saya juga kena tipu kayak gini cara menanggulanginya bagaimana bang,0.0
pas ini kata katanya untung saya marah duluan dia ancam mau non aktifkan akun shopee saya lalu saya bilang silahkan berati saya tidak bayar hutang di shopee dia marah saya ketawa terbahak,0.0
masak iya penipu di tangkap polisi,0.0
wow lancar jaya jam terbang kebohongan tidak bisa bohong miris sekali,0.0
mantap,1.0
lancar tanpa a i kamu e o cok mantan sales ini,0.0
hrs benar benar ditahan klu tidak akan beroperasi lagi,0.0
ini mah pro lancar banget ngomong nya pro penipu,0.0
dari bentuknya memang basic orang itu customer service,1.0
ini kapan ya d tangkap d mana,0.0
saya juga pernah ketipu spinjam jt skrg di tagih terus sama debt collector,0.0
lancar gila,0.0
kenapa penipu kecil kok diviralkan seperti aparat sudah aktip bekerja yang netizen tanya penipu masyarakat oplosan pertamina kok belum kliatan kerjanya apa sudah kebagian hasilnya,0.0
pentingnya ngerti bahasa inggris,0.0
mampus kemarin juga saya d telpon kaya gini untungnya langsung chat cs shoppe ternyata penipu,0.0
saya kena tipu jt baru saya sudah lapor pihak shoopee tapi belum ada respon,0.0
ini karuan penipu kerjanya nipu klu polisiii gmna dooong cb sekali kali klu polisi bermsalh langsung di realis kyak ginii cb kook tidak pernah ada,0.0
saya saranin aktifkan pemblokiran disetting hp anda agar nomor yang tidak tercantum di kontak tidak bisa menelpon anda kalau mmg itu temen anda atau orang yang dikenal pasti dia akan sms anda kalau ada nomor hp tidak dikenal menghubungi anda via wa jangan diterima kalau mmg itu temen anda atau orang yang dikenal pasti dia akan wa anda,0.0
bohong sebetulnya pelaku meminta otp dari sang korban tapi tidak dibukakan ke publik mungkin karena takut orang lain mengikuti jejaknya,0.0
polisi nya juga lancar dalam menanggapi pembicaraan pelaku jelas polisi sebenarna tahu persis hal seperti ini dari dulu taoi diam seolah tidak pernah tahu polisi indonesia mmg tidak jelas taunya hanya uang yang gede,0.0
itu orang tidak lain dari pegawai sopy yang tahu seluk beluk di sopy itu sendiri,1.0
bukan sehari dua hari brrti ini udh pro,0.0
trs cara ambile bagaimana kalau sudah d akun,0.0
saya pernah mau di tipu dpt hadiah dari shopy tapi langsung bilang ambil aja buat bp langsung tutup,0.0
paling bln juga sudah keluar dari lapas,0.0
istri teman ku kena juga jt dia hilang kasihan banget,0.0
tahu tidak mereka manfaatin orang yang tidak bisa bahasa inggris di suruh apply loan,0.0
saya pernah tapi akun lazada duit hilang rb jadi si penelepon nya itu ada orang katanya bersama si bos lazada nya,0.0
kalau ditelusuri lbih dalam ini adalah kasus besar akumulasi kerugian pemakai apl shopee pasti jumlahnya besar komplotan ini pasti bermain dengan orang it shopee itu sndiri bayangkan saja dia tahu flowchart portal shopee sampai kedalam sistem pertanyaannya siapa yang memandu dia untuk pelajari alur sistemnya sampai ke dalam terlepas dia orang awam atau bukan pastinya dalam menjalankan aksinya dia butuh pemahaman flowchart butuh pemahaman security sistem yah apakah mungkin dia mempelajari itu sendiri shingga dapat membobol security sistem dengan jitu dan berhasil disisi lain banyaknya pengaduan konsumen yang akunnya di hacker tidaklah membuat shopee bersungguh dalam meningkatkan portal security sistem ya ujung nya korban ditagih terus menerus oleh pihak spinjam tanpa mereka mau tahu alasan korban pasti orang dalam shopee itu sndiri oknum ada yang terlibat,0.0
di mohonkan kepada petugas kepolisian petugas sipir penjara yang membaca tulisan ini untuk sekedar ingatkan saja apabila pelaku sudah di sel jangan beri dia handphone perketat pengawasan kalau tidak dia bakal menipu lagi akan banyak yang jadi korban uangnya masuk ke rekening keluarganya,0.0
adik saya sama ketipu jt jangan jangan ini dia orang nya di kantor polisi mana ini pk biar saya ngasih pelajaran,0.0
terus kalau cara koruptor beraksi bagaimana caranya spil juga dong,0.0
percuma kepintaran di salah gunakan yang pada akhirnya penjara ha ha ha,0.0
seragam nya beneran shopee anjir,1.0
yang namanya akun wa resmi ada centang birunya yang paham pasti tidak akan tertipu jika masih ragu silakan tanyakan ke cs shopee via aplikasi shopee,1.0
aminn ya allah,1.0
alhamdulillah ketangkep penipu,0.0
pinter trik nya d arahinnya ke pengaturan bhsa inggris yang kebanyakan mrka tidak paham yang akhirnya banyak yang ketipu,0.0
berarti shoppy tidak bnr scurity sistem nya,0.0
hebat benar kemampuannya tapi salah di pergunakan inilah bidang tipu dan mengelabui konsumen cerdas emang tapi pakaiannya baju orange,0.0
kok mukanya d tutup,0.0
saya salah satu korban yang selamat dari kelakuan orang orang seperti ini sebelumnya saya tidak tahu dan saya ikuti arahannya tapi akhirnya saya sadar ada yang aneh langsung saya iya iyakan aja apa yang dia omongin ke saya tapi saya tidak ngapain cuma bilang terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus terus pegel kan kamu baca yang saya ketik cuma terus terus doang apa lagi dia yang dengerin bilang terus terus sampai dia sendiri yang kesel akhirnya dia matiin sendiri telponnya,0.0
kemaren habis lebaran ketipu juga,0.0
pernah juga dtelpon cuma ladenin dlu aja smpe mna diya beraksi,0.0
anehh dimana mana pelaku tidak usah di pakai topeng atau blurr haruss terpampang mukanya biyar seluruh indonesia tahu dan bisa antisipasi kedepannya ketika keluar penjara heran aing giliran korban ajja enak benar tidak di blurr tidak pakai topeng kan kasihan mentalnya sudah jadi korban blom lg menanggung malu blom lg takut nnti suatu saat di ancam sama pelaku ketika nnti keluar penjara bagaimana sii ham itu khusus untuk korban bukan untuk pelaku kriminal mending jaman orde baru petrusss tidak mandang ham,0.0
lngsungg bilang aja hape yang dipakai bb,0.0
penjahat kok ditutupin mukanya,0.0
baru kena nih msh byk tuh komplotan nya,0.0
hati hati ada juga yang pura bisa gestun modusnya via fb untuk menawarkan gestun tapi setelah cair uangnya di ambil penipuannya temen saya ada yang pernah ngalamin modus seperti ini,0.0
tetep ra mudeng modusnya pengajuan pinjaman kan masuk kerekening saya sendiri lha terus carane penipu ngembat duwitku piye,0.0
lancar benar pak jam terbang emang tidak bisa boong,1.0
kalau di konoha muka tersangka bertopeng blur tapi kalau korban di pajang jelas sejernih mata air,1.0
pantas aja sya ketipu,0.0
kepruk ae cangkeme laamis banget dan lancar coccote celeng,1.0
ini yang sering nagih hutang ke saya katanya cicil magicom setiap suruh kirim bukti penerimaan barang sll balik ancam saya mau datang ke rumah saya suruh dtg aja saya tgu di rumah tapi tidak pernah smp rumahku skg kamu rasakan di rumah tahanan deh,0.0
gini ini saya ketipu jga sma oknum yang mengaku pihak shopee begini smpai ketipu sya ditelpon sama orang spinjam beneran,0.0
ini yang menguras habis paylater shopee saya senilai juta,0.0
spesialis pinter bacot,0.0
pemain baru lagi aja hati,0.0
lancar benar lidah nya tampa baca naskah,0.0
waah benar nih darii tim orange,0.0
syaa pernah terus saya blokir,0.0
saya juga pernah di tipu sama oknum dari shoppe ludes semua spaylater di kuras habis,0.0
jangan komplotan dia yang telp gua nguras abis spaylater gua,0.0
naahh looo ahiirnyaaaa pakai baju orange jugaa kaaann padahal kamu kan katanya dari shopee koq lebih dulu dapat giliran pakai baju shopee,0.0
itu pasti asli krywan shopee dilihat dri bajunya artinya pinjaman online shopee pnipu,0.0
ya tidak bisa to wong duite msk rekening pengguna shopee dewe ngawur ngomonge sales obat iku,0.0
bagaimana bisa dia ngambil dana nya aneh,0.0
apa pendapat kalian tentang masalah ini komen di bawah,0.0
bohong gaess jangan ketipuuuuuu kocak,0.0
pinjaman online bangsat jangan ketipu itu bisa di salah gunakan musnahkan pinjaman online di indonesia buat temen yang kejerat pinjaman online gagal bayar massal buat mereka bangkrut,0.0
anjing,0.0
goblok,0.0
penipu ini,0.0
web nya susah,0.0
ajg ajg modus ke gtu sudah basi gblk,0.0
modus parah ini akun repot aja,0.0
sistem gajelas masa penuh terus buang uang rakyat buat aplikasi ini pas mau d pakai kuota full melulu,0.0
goblok iya ini orang,0.0
jangan mau ya data kalian bisa pakai orang buat ngutang d pinjaman online,0.0
ha ha ini nda betul nih,0.0
jangan ikuti tutorial ini ya guys ini orang menyesatkan,0.0
bangsaatt kirim foto ktp dan foto dirii niat mau cari info malah di bikin pinjaman online bangsat,0.0
paling awakmu sing nganggo data ku,0.0
parahhh pinjaman online udh berkeliaran kemna mna yang seperti ini ini hrs segera di ciduk am polisi,0.0
anjing bangsat,0.0
bocah asuu,0.0
report aja penipu ini,0.0
astaghfirullah modus nih orang parah luu,0.0
ribet amat,0.0
report ini orang menjerumuskan jadinya data ktp kita di buat pinjaman online sama dianya ini,0.0
ini malah menjerumus kita regis ktp,0.0
chanel penipu bjngan,0.0
dan akhir nya ktp kita di pakai pinjaman online sama orang inii modus lama om,0.0
modus hati,0.0
ayo kita share keorang sekitar kita supaya mereka tonton dan ada awareness lebih lagi,0.0
mas danil nonton dong pece komputer tidak nyaka yah,0.0
ya ampun sekelas danilkok bsa ya ke sama me bret,0.0
karena yang membuat keputusan kebijakan strategis bodoh pura tidak tahu karena sudah dapat uang sogokan,0.0
terima kasih mr bert pahlawan tampa jasa biar tuhan yang membalas semua kebaikan kamu,1.0
bert bert sampai kapan kau jadi orang dobol kerjanya cuma buat gaduh dan menyesatkan atau jangan kau adalah antek asing yang sengaja diseting untuk bikin kacau bert,0.0
ksatria cyber belum sampai ilmunya boss sekolahnya ndak sampai hanya admin judol sudah ngaku jagoan it tidak sukanya dg mr b ini menakut i supaya viral dan dia dapat view,0.0
masih percaya sama mr best,1.0
saya yang paham kalau ini cuma dongeng,0.0
sekarang donald trump minta qris di hilangkan kalau mau tarif trump turun karena merugikan as minta diganti visa master card artinya apa trump merasa qris ini akan mengancam keuangan amerika karena beberapa negara sudah menggunakan qris harus nya bangga qris mulai mendunia negara lain aja mengakui qris di mulai dari thailand malaysia singapore dan akan menyusul jepang korsel dan negara negara arab pemerintah negara lain aja pakai qris ini ada orang yang sok tahu menyebar hoax atau jangan ini orang ada indikasi buzzernya negara yang merasa terancam dengan adanya qris,0.0
link phising yang digenerate ke qr dan di edit pakai aplikasi recehan macam pixellab picsay seakan qris juga jadi wk,0.0
kukira daniel pinter tidak taunya bisa aja di kadalan,0.0
orang ini tidak ada kapoknya melakukan pengibulannya kebanyakan halu sih jadi berlagak hero,0.0
hrus lebih selektif lagi undang narsum pendongeng kyk gini itu bisa bikin orang tersesat,0.0
lawak kamu makibou,0.0
mr b kalau bikin konten alur cerita film pasti sukses pace komputer sahabat karibnya juga bilang kalau mr b jago bikin alur cerita,1.0
habis nonton pace komputer jadi paham kalau isinya hoax dislike ajalah,0.0
wih keren mr beart ajarin dong it saya mau berguru nih,1.0
pendongeng handal narasumbernya,1.0
chanel besar masih bisa dibodohin payah,0.0
qris adalah link wth kebodohan macam apa pula itu kalau mr bert benar benar paham teknis qris minimal sampaikan kebenaran bahwa struktur data qris standar yang dikeluarkan lembaga resmi itu bentuknya seperti apa bukan menggiring opini konyol bahwa qris adalah link setelah itu beri edukasi bahwa qris hanya dapat bekerja dengan scanner aplikasi pembayaran resmi mengedukasi bagaimana cara mendeteksi dan menghindarinya bukan malah menciptakan ketakutan dan menyebarkan miskonsepsi ke masyarakat yang paham teknis pasti senyum senyum dan tertawa dalam hati,0.0
bajer bajer banjir sip baba mi,0.0
jadi tidak suka saya liat cenel danil ini piling pilih contes yang sok dongen,0.0
sekelas daniel mananta undang gini an boleh adu sama newbie narsumnya bukan siapa siapa tuh bos,0.0
si bang daniel sudah aware kok kalau itu bukan qris tapi qr code tapi masih aja ngikutin opininya dia wakak emang ada baiknya si ini video di take down karena misleading qris itu kan buat pembayaran dari aplikasi m banking atau e wallet ketika mau melakukan pembayaran bukan di scan lewat kamera masuk lewat log in melalui url qr code iya menampilkan url membagongkan,0.0
jumlah komen nya hampir sama dengan likes nya video ini banyak haters nya kah,0.0
ini kenapa iklan saya semua tentang pinjaman online ya,0.0
mo engres our goverment sudah saya tungguin sambil ngeden eh batal tidak jadi klik sub bert bertm dicati pace tuh,0.0
sumpah saya kerja diperbankkan akhir akhir banyak banget yang dateng nanya dia dicariin pinjaman online pinjaman online padahal dia tidak make bahkan lansia sampai kena jugaaa,0.0
masalah qris itu fatal sih bohongnya menurutku saya menduga dia menggunakan hosts localhost dari laptop untuk manipulasi nama domainnya emang ada proses download data makanya dibatasi browser safari kan cuman input form aja gila berani benar nih orang bohong gini ya,0.0
ngakak anjing liar si bert lawak benar lawak,0.0
kocak nyari bintang tamu nya,0.0
hapus aja videonya bang menyesatkan ini,0.0
pembodohan tingkat dewa ini,0.0
otaknya kena bypass pas kecil,0.0
daniel daniel mr bert ini sudah terkenal tidak jelas,0.0
ternyata daniel bisa diboongin pembual kampungan,1.0
saya stelah transaksi pakai qiurs selang beberpa hari ada yang nlpn dari pinjaman online nawarin pinjaman online sampai skrg masih ada yang nlpn sblum nya saya tidak pernah pakai qiurs tidak ada tlpn tawaran pinjaman online nmr nama saya tahu dari mana coba yah,0.0
